day indoor mobility,day,uid
0,86,u44
0,91,u44
0.009802735,92,u44
0.020711782,93,u44
0.017918345,94,u44
0.031395985,95,u44
0.018694654,96,u44
0.002645153,97,u44
0.035773493,98,u44
0.014929237,99,u44
0.016249528,100,u44
0,101,u44
0.025797235,102,u44
0.013812677,103,u44
0.022054417,106,u44
0.009963054,107,u44
0.009047969,108,u44
0.051158858,109,u44
0,110,u44
0.014065475,111,u44
0.013098375,112,u44
0.124018672,113,u44
0.034317966,114,u44
0.066347936,115,u44
0.024993269,116,u44
0,117,u44
0.02348456,118,u44
0.01352381,119,u44
0.069845618,120,u44
0.012609753,121,u44
0.001006349,122,u44
0.028336065,123,u44
0.007374133,125,u44
0.031958709,126,u44
0.030395801,127,u44
0.010652048,128,u44
0.016371261,129,u44
0.020649641,130,u44
0.020047733,133,u44
0.000863148,134,u44
0.012869835,135,u44
0.006912965,136,u44
0.024748259,137,u44
0.044899021,138,u44
0.003004475,139,u44
0.055400072,140,u44
0.003260211,141,u44
0.006682631,142,u44
0.069202695,143,u44
0.006746667,144,u44
0.04275636,145,u44
0.000535583,146,u44
0.013936652,147,u44
0.029877833,148,u44
0.018404908,150,u44
0.087518862,151,u44
0.149888747,86,u20
0.076453034,87,u20
0.133877275,88,u20
0.009414987,89,u20
0.13526816,91,u20
0.118240541,92,u20
0.014925922,93,u20
0.080271138,94,u20
0,95,u20
0,96,u20
0,97,u20
0.030926979,98,u20
0.105221519,99,u20
0.027256129,100,u20
0.032857422,101,u20
0.050900583,102,u20
0.012938079,103,u20
0.009674615,104,u20
0,110,u20
0,111,u20
0.001009303,112,u20
0.037178309,113,u20
0.002616867,114,u20
0.054907833,115,u20
0,116,u20
0.047030087,117,u20
0,118,u20
0.018626657,119,u20
0.029059041,120,u20
0.135958609,121,u20
0.01205683,124,u20
0,125,u20
0.057987944,126,u20
0.028737473,127,u20
0.050271455,128,u20
0,130,u20
0.037377426,131,u20
0,133,u20
0.000870611,134,u20
0.031442721,135,u20
0,136,u20
0.037419964,137,u20
0,138,u20
0.053568219,139,u20
0,140,u20
0.000525679,141,u20
0.025575009,86,u19
0.062431243,87,u19
0.116106889,88,u19
0.313474309,89,u19
0.022176817,91,u19
0.043115505,92,u19
0.025145391,93,u19
0.087682573,94,u19
0.061685824,95,u19
0.011971896,96,u19
0.039973321,97,u19
0.019030566,98,u19
0.071861522,99,u19
0.0474846,100,u19
0.054908736,101,u19
0.012978109,102,u19
0.030251072,103,u19
0.0529184,104,u19
0.019473684,105,u19
0.088906862,106,u19
0.020050305,107,u19
0.04354897,108,u19
0.024200317,109,u19
0,110,u19
0,111,u19
0.014882484,112,u19
0.032125881,113,u19
0,114,u19
0.051417468,115,u19
0.031952108,116,u19
0.009632564,117,u19
0.008640049,118,u19
0.067725362,119,u19
0.001875408,120,u19
0.012235364,121,u19
0.05580758,122,u19
0.014592491,123,u19
0,124,u19
0,125,u19
0.047785644,126,u19
0.024174671,127,u19
0.061291443,128,u19
0.046749613,129,u19
0.02908341,130,u19
0.012766265,131,u19
0.018482597,132,u19
0.02055527,133,u19
0.022198776,134,u19
0.06103202,135,u19
0.024702803,136,u19
0.031241447,137,u19
0.031034483,138,u19
0.028463074,139,u19
0.014974032,140,u19
0.024605876,141,u19
0.005385164,142,u19
0.059596767,143,u19
0.028325683,144,u19
0.032126466,145,u19
0,146,u19
0.002026126,147,u19
0.02116135,148,u19
0.050253169,149,u19
0.000435332,150,u19
0.033157277,151,u19
0.02539482,86,u18
0.022689232,87,u18
0.051885187,88,u18
0.009245705,89,u18
0.025325038,90,u18
0.035726674,91,u18
0.057440684,92,u18
0.044281816,93,u18
0,94,u18
0.030681101,95,u18
0.157882012,96,u18
0.025577596,98,u18
0.01913614,99,u18
0.062450173,100,u18
0.072887907,101,u18
0.025280647,102,u18
0.012080244,103,u18
0.008744878,104,u18
0.020322694,105,u18
0.036835749,106,u18
0.071346705,107,u18
0.066110544,108,u18
0,109,u18
0.001886245,110,u18
0.062731754,111,u18
0,112,u18
0.04381527,113,u18
0.027908113,114,u18
0.028981642,115,u18
0.043367461,116,u18
0.2080513,118,u18
0.079121807,119,u18
0,120,u18
0,121,u18
0.029949559,122,u18
0.033208329,123,u18
0.024666344,124,u18
0,125,u18
0,126,u18
0.00618705,127,u18
0,134,u18
0.033817844,135,u18
0.031642175,136,u18
0,137,u18
0.002385589,138,u18
0.003033586,139,u18
0.020943463,140,u18
0,141,u18
0,142,u18
0.029887981,143,u18
0,144,u18
0.010428616,145,u18
0.004775397,146,u18
0.016933617,147,u18
0.210884354,149,u18
0.058877786,86,u14
0.266555621,87,u14
0.104781955,88,u14
0.05748859,89,u14
0.102124743,90,u14
0.069153695,91,u14
0.024694018,92,u14
0.064258555,93,u14
0.050015813,94,u14
0.015757421,95,u14
0.08679517,96,u14
0.026473382,97,u14
0.090377168,98,u14
0.094891588,99,u14
0.035995263,100,u14
0.056909515,101,u14
0.045727265,102,u14
0.022638298,103,u14
0.017619317,104,u14
0.03015894,105,u14
0.062538945,106,u14
0.059758948,107,u14
0.054798947,108,u14
0.03245322,109,u14
0.01896438,110,u14
0.028331305,111,u14
0.019471488,112,u14
0.040466156,113,u14
0.046880434,114,u14
0.025182376,115,u14
0.084998184,116,u14
0.000547438,117,u14
0.123334766,118,u14
0.024043012,119,u14
0.056137131,120,u14
0.07482737,121,u14
0.046778331,122,u14
0.011258444,123,u14
0.003855333,124,u14
0.035880247,125,u14
0.040195273,126,u14
0.010980845,127,u14
0.065543298,128,u14
0.053194986,129,u14
0.007437039,131,u14
0.047748493,132,u14
0.095057922,133,u14
0.083209107,134,u14
0.076361513,135,u14
0.020331751,136,u14
0.042797736,137,u14
0,139,u14
0.067091505,140,u14
0.128630308,141,u14
0.036248355,142,u14
0.031868623,144,u14
0.006513615,146,u14
0,148,u14
0.033594177,149,u14
0.194088726,86,u54
0.188421748,87,u54
0.340784631,88,u54
0.244782495,89,u54
0.230031244,90,u54
0.103588749,91,u54
0.059477926,92,u54
0.045588173,93,u54
0.109380934,94,u54
0.102122274,95,u54
0.281001358,96,u54
0.33576909,97,u54
0.146866612,101,u54
0.047280273,102,u54
0.009386995,103,u54
0.001444138,104,u54
0.048694507,105,u54
0.046172212,106,u54
0.081223242,107,u54
0.172037858,108,u54
0.083597934,109,u54
0.04435857,110,u54
0.041946677,111,u54
0.063108379,112,u54
0.076966202,113,u54
0.000568586,114,u54
0.066089693,115,u54
0.060435384,116,u54
0.076752853,117,u54
0.074156657,118,u54
0.081184301,119,u54
0.025177511,120,u54
0.076035966,121,u54
0.121896163,122,u54
0.068415266,123,u54
0.018825805,124,u54
0.048482079,125,u54
0.12026319,126,u54
0.243355412,127,u54
0.115845358,128,u54
0.262917933,129,u54
0.110757576,149,u54
0.087579618,150,u54
0.261182235,86,u57
0.080995127,87,u57
0.176374932,88,u57
0.125348753,89,u57
0.034030982,90,u57
0.268672715,91,u57
0.089554555,92,u57
0.169863886,93,u57
0.143913998,94,u57
0.116290943,95,u57
