evening indoor mobility,day,uid
0,91,u44
0.008625989,92,u44
0.00139977,94,u44
0,95,u44
0.004852394,96,u44
0.008306993,97,u44
0.000729619,98,u44
0.003119842,99,u44
0.007436093,101,u44
0.073477831,102,u44
0.006981541,103,u44
0.104220779,105,u44
0.002770642,106,u44
0.011860623,109,u44
0.007522972,110,u44
0,111,u44
0.004128269,112,u44
0.005766589,114,u44
0.006780629,115,u44
0.247714808,116,u44
0.014832753,117,u44
0.009968633,118,u44
0.074341943,119,u44
9.28E-05,120,u44
0.00172461,123,u44
0,126,u44
0.006051738,127,u44
0.183498066,128,u44
0.009759252,130,u44
0,131,u44
0.000899429,133,u44
0.027061204,134,u44
0.004034362,136,u44
0.007227473,137,u44
0.054385454,138,u44
0.00405563,140,u44
0.00222752,141,u44
0.003039967,143,u44
0.002334808,145,u44
0,146,u44
0.014708845,147,u44
0,148,u44
0,149,u44
0,150,u44
0.016687305,86,u20
0.002625202,87,u20
0.015044354,88,u20
0,89,u20
0.066845278,90,u20
0.02133624,91,u20
0.03021478,92,u20
0.088288615,93,u20
0,94,u20
0,95,u20
0,96,u20
0.029400079,97,u20
0,98,u20
0.022648084,99,u20
0,100,u20
0.052724377,101,u20
0,102,u20
0.000811112,103,u20
0,104,u20
0,110,u20
0,111,u20
0,112,u20
0.069843185,113,u20
0.061807788,114,u20
0.013781065,115,u20
0.119228303,116,u20
0.048456942,117,u20
0.058192057,118,u20
0.053523319,119,u20
0.060589216,120,u20
0.10425,124,u20
0,125,u20
0,126,u20
0,127,u20
0.011014074,130,u20
0.032430568,131,u20
0,132,u20
0.000688784,133,u20
0,134,u20
0.01602201,135,u20
0,136,u20
0.010309278,137,u20
0.029694128,139,u20
0,140,u20
0.022863509,86,u19
0.054230531,87,u19
0,88,u19
1,89,u19
0.001057753,90,u19
0.042275372,91,u19
0.056111247,92,u19
0.016393443,93,u19
0,94,u19
0.015191249,95,u19
0,96,u19
0,97,u19
0.053953018,98,u19
0.017920735,99,u19
0.0236249,100,u19
0,101,u19
0.022418864,102,u19
0.031540848,103,u19
0.046251659,104,u19
0.000118631,105,u19
0.034580838,106,u19
0.066879172,107,u19
0.008669211,108,u19
0.026858214,109,u19
0.000835261,110,u19
0.015585759,111,u19
0.01517919,112,u19
0.025056169,113,u19
0.01080268,114,u19
0.054824926,115,u19
0,116,u19
0.011799693,117,u19
0.03069885,118,u19
0.077371395,119,u19
0,120,u19
0.000970638,121,u19
0.00094896,122,u19
0.024732318,123,u19
0.000415326,124,u19
0.0223449,125,u19
0.00077914,126,u19
0.030436206,127,u19
0.013399045,128,u19
0.03489651,129,u19
0.030437669,130,u19
0.02748394,131,u19
0,132,u19
0.021376019,133,u19
0.011018632,134,u19
0.014522219,135,u19
0.005729167,136,u19
0.012485812,137,u19
0.033136759,138,u19
0.031350359,139,u19
0.034244102,140,u19
0.041538228,141,u19
0.011784601,142,u19
0.053118555,143,u19
0.030263224,144,u19
0.005116475,145,u19
0.023166892,146,u19
0.012489416,147,u19
0.00045483,148,u19
0,149,u19
0,150,u19
0.199546742,151,u19
0.00944251,86,u18
0.033005809,87,u18
0,88,u18
0.091379698,89,u18
0.020579121,90,u18
0,91,u18
0.063386944,92,u18
0.044096816,93,u18
0,94,u18
0.00046401,95,u18
0,96,u18
0,97,u18
0.025870091,98,u18
0.036780444,99,u18
0.010025238,100,u18
0.045478937,101,u18
0,102,u18
0,103,u18
0.040765708,104,u18
0.034788316,105,u18
0.041542462,106,u18
0.063202999,107,u18
0.032726068,108,u18
0.020393474,109,u18
0.021714286,110,u18
0.056031779,111,u18
0.014064783,112,u18
0.073040624,113,u18
0.04244186,114,u18
0.046790475,115,u18
0.010957242,116,u18
0.033742144,118,u18
0.01467161,119,u18
0,120,u18
0,121,u18
0.002075496,122,u18
0,123,u18
0.000661113,124,u18
0,125,u18
0,126,u18
0.120478036,127,u18
0.03168059,134,u18
0.00918216,135,u18
0.014010889,136,u18
0,137,u18
0,138,u18
0,139,u18
0,140,u18
0,141,u18
0,142,u18
0.024702207,143,u18
0.000229001,144,u18
0.001880561,145,u18
0.051383167,146,u18
0.012330456,147,u18
0.087827033,86,u14
0.377659903,87,u14
0.389019762,88,u14
0.235889799,89,u14
0.008161611,90,u14
0.034033714,91,u14
0.465933037,92,u14
0.182152062,93,u14
0.30582785,94,u14
0.665523691,95,u14
0.133984375,96,u14
0.041328324,97,u14
0.042245552,98,u14
0.442438591,99,u14
0.121797207,100,u14
0.011973658,101,u14
0.756284057,102,u14
0.295375642,103,u14
0.053352734,104,u14
0.186366885,105,u14
0.023238432,106,u14
0.125501181,107,u14
0.208818165,108,u14
0.593815928,109,u14
0.034634794,110,u14
0.007731434,111,u14
0.203985932,112,u14
0.095829459,113,u14
0.380329631,114,u14
0.085392875,115,u14
0.441801521,116,u14
0.171274617,117,u14
0.000765931,118,u14
0.040345369,119,u14
0.022958818,120,u14
0.237690141,121,u14
0.214119119,122,u14
0.640029147,123,u14
0.088883705,124,u14
0.008318694,125,u14
0.273602282,126,u14
0.136190476,127,u14
0,128,u14
0.234928359,129,u14
0.337178255,131,u14
0.02917121,132,u14
0.252320955,133,u14
0.064991661,134,u14
0,136,u14
0,139,u14
0,140,u14
0.036919479,142,u14
0,143,u14
0.000167813,145,u14
0,146,u14
0,147,u14
0.000653858,148,u14
0,149,u14
0.001305928,86,u54
0.17975551,87,u54
0.135121062,88,u54
0.208918081,89,u54
0.405135675,90,u54
0.065242057,91,u54
0.049848421,92,u54
0.244821634,93,u54
0.058570082,94,u54
0.09321327,95,u54
0.016840447,96,u54
0.040406247,97,u54
0.008623934,101,u54
0.043594137,102,u54
