night indoor mobility,day,uid
0,92,u44
0.12923852,93,u44
0.100092678,95,u44
0.017534523,96,u44
0.084860445,98,u44
0.08028083,100,u44
0.050767414,101,u44
0.130946987,102,u44
0.14028436,106,u44
0.130881558,107,u44
0.182247899,108,u44
0.208762887,109,u44
0.096661888,110,u44
0.638888889,111,u44
0.152276592,112,u44
0.01951431,114,u44
0.022757697,115,u44
0.549094376,116,u44
0,117,u44
0.062125749,119,u44
0.008057051,120,u44
0.123624935,121,u44
0.057905687,122,u44
0.095218801,123,u44
0,126,u44
0.00373072,127,u44
0.578512397,128,u44
0.065268065,130,u44
0.145316984,135,u44
0.000325415,136,u44
0.056376319,139,u44
0,145,u44
0.004776133,147,u44
0.008105198,148,u44
0.019220973,151,u44
0.017612712,87,u20
0,88,u20
0.006561388,89,u20
0.002898181,91,u20
0,92,u20
0.030868927,93,u20
0.007697799,94,u20
0,95,u20
0,96,u20
0,97,u20
0,98,u20
0,99,u20
0,100,u20
0,101,u20
0.011096167,102,u20
0,103,u20
0.002904626,104,u20
0,105,u20
0,110,u20
0,111,u20
0.000887038,112,u20
0,113,u20
0,114,u20
0,115,u20
0,116,u20
0.008770697,117,u20
0.014966945,118,u20
9.55E-05,119,u20
0.00709386,120,u20
0.013195658,121,u20
0,125,u20
0,126,u20
0,127,u20
0,128,u20
0.008099017,131,u20
0,132,u20
0,133,u20
0,134,u20
0.001119764,135,u20
0,136,u20
0,137,u20
0.017441653,138,u20
0.002546118,140,u20
0,141,u20
0,86,u19
0.027419267,87,u19
0.020913727,88,u19
0.00123275,91,u19
0.007146638,92,u19
0.025867316,93,u19
0.007350768,94,u19
0.001957084,95,u19
0.05806903,96,u19
0.012197253,97,u19
0.007903038,98,u19
0.003225696,99,u19
0.00826187,100,u19
0.006100457,101,u19
0.004984787,102,u19
0,103,u19
0.000181317,104,u19
0.004148148,105,u19
0.007241894,106,u19
0.009272727,107,u19
0.011377954,108,u19
0.008788176,109,u19
0,110,u19
0.007891809,111,u19
0.015364201,112,u19
0.003589279,113,u19
0,114,u19
0.015631401,115,u19
0.002913351,116,u19
0.003495602,117,u19
0,118,u19
0.009993534,119,u19
0.015738228,120,u19
0,121,u19
0.004441335,122,u19
0.001887769,123,u19
0,124,u19
0,125,u19
0.023052487,126,u19
0,127,u19
0.010989653,128,u19
0.011394003,129,u19
0.004672078,130,u19
0.004857227,131,u19
0,132,u19
0,133,u19
0.0144324,134,u19
0.005109023,135,u19
0.015635179,136,u19
0.001798338,137,u19
0.00023243,138,u19
0.009140169,139,u19
0,140,u19
0.035177878,141,u19
0,142,u19
0.002568546,143,u19
0.009383709,144,u19
0.006840617,145,u19
0.001500375,146,u19
0.000581734,147,u19
0.018803957,148,u19
0.045742894,149,u19
0.007736481,150,u19
0,151,u19
0.006858862,86,u18
0.012977307,87,u18
0.008644101,88,u18
0.007265095,89,u18
0.027089472,90,u18
0.013054204,91,u18
0,92,u18
0.023616985,93,u18
0,94,u18
0.006369427,95,u18
0.013055927,96,u18
0.023990832,98,u18
0,99,u18
0.005285412,100,u18
0.022294023,101,u18
0.017844503,102,u18
0,103,u18
0.000230574,104,u18
0.001998642,105,u18
0.003189479,106,u18
0.020495621,107,u18
0.011953243,108,u18
0,109,u18
0.021743712,110,u18
0.016624594,111,u18
0,112,u18
0.007547965,113,u18
0,114,u18
0.026096033,115,u18
0.009468742,116,u18
0.001989299,119,u18
0.031284878,120,u18
0,121,u18
0,122,u18
0.013302664,123,u18
0,124,u18
0,125,u18
0.004255319,126,u18
0.000357667,127,u18
0.012944371,128,u18
0.006554543,135,u18
0.006183568,136,u18
0,137,u18
0,138,u18
0,139,u18
0,141,u18
0,142,u18
0,143,u18
0,144,u18
0,145,u18
0.020275773,146,u18
0,147,u18
0,149,u18
0.010783894,86,u14
0.05054117,87,u14
0.007825423,88,u14
0.047052154,89,u14
0.200453965,90,u14
0.010826675,91,u14
0.00538144,92,u14
0.040081641,93,u14
0.020375516,94,u14
0.00821563,95,u14
0.109539525,96,u14
0.091294897,97,u14
0.021347338,98,u14
0.000548714,99,u14
0.026399606,100,u14
0.05994695,101,u14
0.015686917,102,u14
0.033908204,104,u14
0.006788512,105,u14
0.103872578,106,u14
0.013361643,107,u14
0.033352965,108,u14
0.022623326,109,u14
0.100615299,110,u14
0.014510394,111,u14
0.008940786,112,u14
0.117730268,113,u14
0.006941919,114,u14
0.013334245,115,u14
0.004505251,116,u14
0.271239654,117,u14
0.036834161,118,u14
0.036621178,119,u14
0,120,u14
0.024910066,121,u14
0,122,u14
0.012097695,123,u14
0.184195146,124,u14
0.003811598,125,u14
0.096819906,126,u14
0.014389457,127,u14
0.003779624,128,u14
0.01543516,129,u14
0.092789099,132,u14
0.00670609,133,u14
0.113609428,134,u14
0.015834106,135,u14
0,137,u14
0.010854176,140,u14
0,141,u14
0.005938634,142,u14
0.002675978,144,u14
0,146,u14
0.014654676,148,u14
